id, name, action_token
100, edit_entry, 534c5bbdab0ab96598e43f7e3b5f50d1
102, add_entry, 234c5bbdab0ab96538e43f7e3b5f50d1
103, list_entry, 634c3bbdab0ab96538e43f7e3b5f50d1
104, launch_entry, 734c5bbd220ab96538e43f7e3b5f50d1
105, add_user, 834c5bbdab0ab96538e43f7e3b5f50d1
106, edit_user, 034c5bbdab0ab96538e43f7e3b5f50d1
107, list_user, a34c5bbdab0ab96538e43f7e3b5f50d1
108, add_post, b34c5bbdab0ab96532243f7e3b5f50d1
109, edit_post, c34c5bbdab0ab96598e43f7e3b5f50d1
110, list_post, e34c5bbdab0ab96598e43f7e3b5f50d1
111, launch_post, f34c5bbdab0ab96528e43f7e3b5f50d1
112, add_product, a14c5bbdab0ab96598e43f7e3b5f50d1
113, edit_product, a24c5bbdab0ab96598e43f7e3b5f50d1
114, list_product, a44c5bbd22ab96598e43f7e3b5f50d1
115, sale_product, a54c5bbdab0ab96598e43f7e3b5f50d1
116, report_product, a64c5bbdab0ab96598e43f7e3b5f50d1
117, add_category, a74c5bbdab0ab96598e43f7e3b5f50d1
118, edit_category, a84c5bbdab0ab96598e43f7e3b5f50d1
119, list_category, a94c5bbdab0ab96598e43f7e3b5f50d1
120, stat_category, b14c5bbdab0ab96598e43f7e3b5f50d1
121, add_page, b434c5bbdab0aa96598e43f7e3b5f50d1
122, edit_page, c34c5bbdab0ab96598e43f7e3b5f50d1
123, list_page, c54c5bbdab0ab96598e43f7e3b5f50d1
124, clear_page, c74c5bbdab0ab96598e43f7e3b5f50d1
125, manage_role, c834c5bbdab0ab96598e43f7e3b5f50d1